"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"Council Resolution of 18 July 1977 on advisory committees on research programme management","","31977Y0811(01)","","","","","Resolution","comitology, advisory committee (EU), research programme, management","","Provisions governing the Institutions, Research and training","General, financial and institutional matters, Science, information, education and culture, Energy, Provisions governing the institutions, Science, General principles and programmes, General, Research sectors, General","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1977-07-18","1977-08-11, 1986-01-01, 1980-12-31","Council of the European Union","1977-07-18","No end date","","","","true","OJ C 192, 11/08/1977, p. 1–2
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",
"Council Resolution of 9 December 1975 setting a short- term target for energy saving 1976/77","","31975Y1217(01)","","","","","Resolution","energy consumption, energy use, energy saving","","Energy, Conjunctural policy","Energy, General principles and programmes, Rational utilisation and conservation of energy","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1975-12-09","1975-12-17","Council of the European Union","1975-12-09","No end date","","","","true","OJ C 289, 17/12/1975, p. 1–2
		 (DA, DE, EN, FR, IT, NL)",
"Council Resolution of 22 July 1975 on the technological problems of nuclear safety","","31975Y0814(01)","","","","","Resolution","research programme, nuclear safety, energy supply","","Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1975-07-22","1975-08-14, 1986-01-01","Council of the European Union","1975-07-22","No end date","","","","true","OJ C 185, 14/08/1975, p. 1–2
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",
"Council Resolution of 3 March 1975 on energy and the environment","","31975Y0725(02)","","","","","Resolution","management of resources, thermal energy, nuclear energy, air quality, environmental protection, action programme","","Environment, Energy","Environment, consumers and health protection, Energy, Environment, General principles and programmes, General provisions and programmes, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:41973X1220","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1975-03-03","1975-07-25, 1986-01-01, 1980-12-31","Council of the European Union","1975-03-03","No end date","","","","true","OJ C 168, 25/07/1975, p. 2–3
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",
"Council Resolution of 13 February 1975 concerning measures to be implemented to achieve the Community energy policy objectives adopted by the Council on 17 December 1974","","31975Y0709(04)","","","","","Resolution","nuclear energy, hydrocarbon, EU policy, energy policy, EU production, energy saving","","Environment, Nuclear common market, Fuels, Energy","Energy, Energy, General principles and programmes, General principles and programmes, Rational utilisation and conservation of energy, General","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1975-02-13","1975-07-09, 1986-01-01, 1980-12-31","Council of the European Union","1975-02-13","No end date","","","","true","OJ C 153, 09/07/1975, p. 6–8
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",
"Council Resolution of 17 September 1974 concerning a new energy policy strategy for the Community","","31975Y0709(01)","","","","","Resolution","EU policy, energy production, energy supply, energy policy","","Energy, Environment, Cooperation, Conjunctural policy","Energy, General principles and programmes, Rational utilisation and conservation of energy","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1974-09-17","1975-07-09, 1986-01-01","Council of the European Union","1974-09-17","No end date","","","","true","OJ C 153, 09/07/1975, p. 1–2
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",
"Council Resolution of 17 December 1974 concerning Community energy policy objectives for 1985","","31975Y0709(02)","","","","","Resolution","energy production, EU policy, energy saving, energy policy, energy supply","","Nuclear common market, Fuels, Energy, Environment","Energy, General principles and programmes, Rational utilisation and conservation of energy","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1974-12-17","1975-07-09, 1986-01-01, 1980-12-31","Council of the European Union","1974-12-17","No end date","","","","true","OJ C 153, 09/07/1975, p. 2–4
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",
"Council Resolution of 17 December 1974 on a Community action programme on the rational utilization of energy","","31975Y0709(03)","","","","","Resolution","energy policy, energy use, energy saving","","Environment, Energy, Fuels, Nuclear common market","Energy, Energy, General principles and programmes, General principles and programmes, Rational utilisation and conservation of energy, General","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1974-12-17","1975-07-09, 1986-01-01, 1980-12-31","Council of the European Union","1974-12-17","No end date","","","","true","OJ C 153, 09/07/1975, p. 5–5
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		EL, ES, PT)
		",
"Council Resolution of 4 June 1974 concerning the supply of enriched uranium of the Community","","31974Y0614(01)","","","","","Resolution","energy supply, nuclear policy, nuclear power station, uranium","","Energy, Nuclear common market","Energy, Nuclear energy, Fuel supplies","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1974-06-04","1974-06-14, 1986-01-01","Council of the European Union","1974-06-14","No end date","","","","true","OJ C 69, 14/06/1974, p. 1–2
		 (DA, DE, EN, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",
"Resolution of the ECSC Consultative Committee on Coal Policy in the Community","","31973Y1127(01)","","","","","Resolution","ECSC, EU industrial policy, energy market, energy supply, coalmining policy","","Fuels, Conjunctural policy","Energy, Coal, Promotion of the coal industry","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1973-11-06","1973-11-27","European Commission","","No end date","","","","true","OJ C 103, 27/11/1973, p. 2–3
		 (DA, DE, EN, FR, IT, NL)",
"Resolution of the Advisory Committee on Energy Policy","","31972Y1011(01)","","","","","Resolution","coal industry, energy consumption, energy policy, coal, ECSC, mining extraction","","Energy, Fuels","Energy, Coal, Promotion of the coal industry","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1972-09-15","1972-10-11","European Commission","","No end date","","","","true","OJ C 106, 11/10/1972, p. 10–11
		 (DE, FR, IT, NL)",
"71/56/Euratom: Resolution of 17 December 1970 by representatives of the governments of the Member States, meeting within the Council, on the appointment of members of the Advisory Committee of the Joint Research Centre","/* Unofficial translation */","41971X0056","","","","http://data.europa.eu/eli/res/1971/56/oj","Resolution","comitology, advisory committee (EU), Joint Research Centre","","Nuclear common market, Research and training, Provisions governing the Institutions","Energy, Nuclear energy, Other measures relating to nuclear energy","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1970-12-17","1971-01-20, 1986-01-01","Representatives of the Governments of the Member States","","No end date","","","","true","OJ L 16, 20/01/1971, p. 13–13
		 (DE, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",
"/* 71/55/Euratom: Council Resolution of 17 December 1970 on the detailed rules for adopting research and education programmes */","","31971G0055","","","","http://data.europa.eu/eli/res/1971/55/oj","Resolution","teaching curriculum, nuclear policy, research expenditure (EU), EAEC, research programme, EU programme","","Research and training","Energy, General principles and programmes","","","","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1970-12-17","1971-01-20, 1986-01-01","Council of the European Union","","","","","","true","OJ L 16, 20/01/1971, p. 13–13
		 (DE, FR, IT, NL), This document has been published in a special edition(s) (
           		ES, PT)
		",
