"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","Publication Reference",
"Commission Regulation (EU) 2019/2020 of 1 October 2019 laying down ecodesign requirements for light sources and separate control gears pursuant to Directive 2009/125/EC of the European Parliament and of the Council and repealing Commission Regulations (EC) No 244/2009, (EC) No 245/2009 and (EU) No 1194/2012 (Text with EEA relevance.)","C/2019/2121","32019R2020","2021-09-01","2021-09-01","OJ L 315, 05/12/2019, p. 209–240
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2019/2013 of 11 March 2019 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to energy labelling of electronic displays and repealing Commission Delegated Regulation (EU) No 1062/2010 (Text with EEA relevance.)","C/2019/1796","32019R2013","2021-05-01","2021-05-01","OJ L 315, 05/12/2019, p. 1–28
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2019/2017 of 11 March 2019 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to energy labelling of household dishwashers and repealing Commission Delegated Regulation (EU) No 1059/2010 (Text with EEA relevance.)","C/2019/1807","32019R2017","2021-05-01","2021-05-01","OJ L 315, 05/12/2019, p. 134–154
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2019/2021 of 1 October 2019 laying down ecodesign requirements for electronic displays pursuant to Directive 2009/125/EC of the European Parliament and of the Council, amending Commission Regulation (EC) No 1275/2008 and repealing Commission Regulation (EC) No 642/2009 (Text with EEA relevance.)","C/2019/2122","32019R2021","2021-05-01","2021-05-01","OJ L 315, 05/12/2019, p. 241–266
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (EU, Euratom) 2019/1945 of 19 November 2018 approving the conclusion, by the European Commission, of the Agreement between the European Atomic Energy Community (Euratom) and the Korean Peninsula Energy Development Organisation (KEDO)","ST/13263/2018/INIT","32019D1945","","","OJ L 304, 26/11/2019, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (EU, Euratom) 2019/1946 of 19 November 2018 approving the conclusion, by the European Commission, of the Agreement between the European Atomic Energy Community (Euratom) and the Korean Peninsula Energy Development Organisation (KEDO)","ST/13261/2018/INIT","32019D1946","","","OJ L 304, 26/11/2019, p. 4–4
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Regulation (EU) 2019/1781 of 1 October 2019 laying down ecodesign requirements for electric motors and variable speed drives pursuant to Directive 2009/125/EC of the European Parliament and of the Council, amending Regulation (EC) No 641/2009 with regard to ecodesign requirements for glandless standalone circulators and glandless circulators integrated in products and repealing Commission Regulation (EC) No 640/2009 (Text with EEA relevance)","C/2019/2125","32019R1781","2023-01-24","2023-01-24","OJ L 272, 25/10/2019, p. 74–94
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2019/1784 of 1 October 2019 laying down ecodesign requirements for welding equipment pursuant to Directive 2009/125/EC of the European Parliament and of the Council (Text with EEA relevance)","C/2019/6843","32019R1784","","","OJ L 272, 25/10/2019, p. 121–135
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2019/1782 of 1 October 2019 laying down ecodesign requirements for external power supplies pursuant to Directive 2009/125/EC of the European Parliament and of the Council and repealing Commission Regulation (EC) No 278/2009 (Text with EEA relevance)","C/2019/2126","32019R1782","","","OJ L 272, 25/10/2019, p. 95–106
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2019/1745 of 13 August 2019 supplementing and amending Directive 2014/94/EU of the European Parliament and of the Council as regards recharging points for L-category motor vehicles, shore-side electricity supply for inland waterway vessels, hydrogen supply for road transport and natural gas supply for road and waterborne transport and repealing Commission Delegated Regulation (EU) 2018/674 (Text with EEA relevance)","","32019R1745","","","OJ L 268, 22/10/2019, p. 1–5
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (EU) 2019/1133 of 25 June 2019 on the position to be taken on behalf of the European Union in the International Partnership for Energy Efficiency Cooperation (IPEEC) with regard to the extension of the Terms of Reference for the IPEEC for the period from 24 May until 31 December 2019","ST/9718/2019/INIT","32019D1133","","","OJ L 179, 03/07/2019, p. 23–24
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2019/807 of 13 March 2019 supplementing Directive (EU) 2018/2001 of the European Parliament and of the Council as regards the determination of high indirect land-use change-risk feedstock for which a significant expansion of the production area into land with high carbon stock is observed and the certification of low indirect land-use change-risk biofuels, bioliquids and biomass fuels","C/2019/2055","32019R0807","","","OJ L 133, 21/05/2019, p. 1–7
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2019/803 of 17 May 2019 concerning the technical requirements regarding the content of quality reports on European statistics on natural gas and electricity prices pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (Text with EEA relevance.)","C/2019/3642","32019R0803","","","OJ L 132, 20/05/2019, p. 23–27
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2019/424 of 15 March 2019 laying down ecodesign requirements for servers and data storage products pursuant to Directive 2009/125/EC of the European Parliament and of the Council and amending Commission Regulation (EU) No 617/2013 (Text with EEA relevance.)","C/2019/1955","32019R0424","2021-05-01","2021-05-01","OJ L 74, 18/03/2019, p. 46–66
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2018/1734 of 14 November 2018 granting derogations to the Federal Republic of Germany, the Kingdom of Spain, the Italian Republic and the Republic of Cyprus as regards the provision of statistics pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (notified under document C(2018) 7465) (Text with EEA relevance.)","C/2018/7465","32018D1734","","","OJ L 288, 16/11/2018, p. 19–20
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2018/1688 of 7 November 2018 granting derogations to Slovakia as regards the provision of statistics pursuant to Regulation (EC) No 1099/2008 of the European Parliament and of the Council on energy statistics (notified under document C(2018) 7304) (Text with EEA relevance.)","C/2018/7304","32018D1688","","","OJ L 279, 09/11/2018, p. 38–38
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Implementing Decision (EU) 2018/1134 of 5 July 2018 concerning the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to contracts awarded for certain activities related to the retail supply of electricity and natural gas in the Czech Republic (notified under document C(2018) 4194) (Text with EEA relevance.)","C/2018/4194","32018D1134","","","OJ L 205, 14/08/2018, p. 23–39
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2018/496 of 22 March 2018 on the establishment of the 2018 annual priority list for the development of network codes and guidelines (Text with EEA relevance. )","C/2018/1638","32018D0496","","","OJ L 81, 23/03/2018, p. 83–84
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Implementing Decision (EU) 2017/2409 of 18 December 2017 authorising Sweden to apply a reduced rate of excise duty on electricity consumed by households and service sector companies situated in certain areas in the North of Sweden in accordance with Article 19 of Directive 2003/96/EC","","32017D2409","","","OJ L 342, 21/12/2017, p. 10–12
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2017/2195 of 23 November 2017 establishing a guideline on electricity balancing (Text with EEA relevance. )","C/2017/7774","32017R2195","2022-06-19","2022-06-19","OJ L 312, 28/11/2017, p. 6–53
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2017/2196 of 24 November 2017 establishing a network code on electricity emergency and restoration (Text with EEA relevance. )","C/2017/7775","32017R2196","2017-11-28","2017-11-28","OJ L 312, 28/11/2017, p. 54–85
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2017/2169 of 21 November 2017 concerning the format and arrangements for the transmission of European Statistics on natural gas and electricity prices pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (Text with EEA relevance. )","C/2017/7667","32017R2169","","","OJ L 306, 22/11/2017, p. 9–18
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2017/1485 of 2 August 2017 establishing a guideline on electricity transmission system operation (Text with EEA relevance. )","C/2017/5310","32017R1485","2021-03-15","2021-03-15","OJ L 220, 25/08/2017, p. 1–120
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 6 June 2017 relating to the modified plan for the disposal of radioactive waste arising from the Comurhex II site located at Malvési in France, in accordance with Article 37 of the Euratom Treaty","C/2017/3690","32017A0608(01)","","","OJ C 180, 08/06/2017, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (Euratom) 2017/956 of 29 May 2017 on the adoption of the 2016-2019 high flux reactor supplementary research programme to be implemented by the Joint Research Centre for the European Atomic Energy Community","","32017D0956","","","OJ L 144, 07/06/2017, p. 23–26
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (EU) 2017/783 of 25 April 2017 on the position to be adopted, on behalf of the European Union, within the EEA Joint Committee concerning an amendment to Annex IV (Energy) to the EEA Agreement (Third Energy Package)","","32017D0783","","","OJ L 118, 06/05/2017, p. 6–16
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Regulation (EU) 2017/459 of 16 March 2017 establishing a network code on capacity allocation mechanisms in gas transmission systems and repealing Regulation (EU) No 984/2013 (Text with EEA relevance. )","C/2017/1660","32017R0459","","","OJ L 72, 17/03/2017, p. 1–28
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2017/460 of 16 March 2017 establishing a network code on harmonised transmission tariff structures for gas (Text with EEA relevance. )","C/2017/1657","32017R0460","","","OJ L 72, 17/03/2017, p. 29–56
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2017/89 of 17 January 2017 on the establishment of the annual priority lists for 2017 for the development of network codes and guidelines (Text with EEA relevance. )","C/2017/0076","32017D0089","","","OJ L 14, 18/01/2017, p. 14–16
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2016/2281 of 30 November 2016 implementing Directive 2009/125/EC of the European Parliament and of the Council establishing a framework for the setting of ecodesign requirements for energy-related products, with regard to ecodesign requirements for air heating products, cooling products, high temperature process chillers and fan coil units (Text with EEA relevance )","C/2016/7769","32016R2281","2017-01-09","2017-01-09","OJ L 346, 20/12/2016, p. 1–50
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (Euratom) 2016/2116 of 12 February 2016 approving the conclusion by the European Commission, on behalf of the European Atomic Energy Community, of the Agreement extending the Framework Agreement for International Collaboration on Research and Development of Generation IV nuclearenergy systems","","32016D2116","","","OJ L 329, 03/12/2016, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (CFSP) 2016/2001 of 15 November 2016 on a Union contribution to the establishment and the secure management of a Low Enriched Uranium (LEU) Bank under the control of the International Atomic Energy Agency (IAEA) in the framework of the EU Strategy against the Proliferation of Weapons of Mass Destruction","","32016D2001","","","OJ L 308, 16/11/2016, p. 22–28
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Decision of 28 October 2016 regarding the free software licensing (European Union Public License) of SyRIO — System for Reporting the Incidents in Offshore Oil and Gas Operations","C/2016/7116","32016D1115(01)","","","OJ C 420, 15/11/2016, p. 2–3
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Decision (EU) 2016/1756 of 28 September 2016 determining the European Union position with regard to a decision of the management entities under the Agreement between the Government of the United States of America and the European Union on the coordination of energy-efficiency labelling programmes for office equipment, on the revision of specifications for displays included in Annex C to the Agreement (Text with EEA relevance)","C/2016/5973","32016D1756","","","OJ L 268, 01/10/2016, p. 90–112
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2016/1719 of 26 September 2016 establishing a guideline on forward capacity allocation (Text with EEA relevance)","C/2016/5946","32016R1719","2021-03-15","2021-03-15","OJ L 259, 27/09/2016, p. 42–68
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2016/1674 of 15 September 2016 exempting retail supply of electricity and gas in Germany from the application of Directive 2014/25/EU of the European Parliament and of the Council (notified under document C(2016) 5779) (Text with EEA relevance)","C/2016/5779","32016D1674","","","OJ L 253, 17/09/2016, p. 6–15
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Regulation (EU) 2016/1447 of 26 August 2016 establishing a network code on requirements for grid connection of high voltage direct current systems and direct current-connected power park modules (Text with EEA relevance)","","32016R1447","","","OJ L 241, 08/09/2016, p. 1–65
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2016/1388 of 17 August 2016 establishing a Network Code on Demand Connection (Text with EEA relevance)","C/2016/5239","32016R1388","","","OJ L 223, 18/08/2016, p. 10–54
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2016/1055 of 29 June 2016 laying down implementing technical standards with regard to the technical means for appropriate public disclosure of inside information and for delaying the public disclosure of inside information in accordance with Regulation (EU) No 596/2014 of the European Parliament and of the Council (Text with EEA relevance)","C/2016/3926","32016R1055","","","OJ L 173, 30/06/2016, p. 47–51
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2016/631 of 14 April 2016 establishing a network code on requirements for grid connection of generators (Text with EEA relevance)","C/2016/2001","32016R0631","","","OJ L 112, 27/04/2016, p. 1–68
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2015/2402 of 12 October 2015 reviewing harmonised efficiency reference values for separate production of electricity and heat in application of Directive 2012/27/EU of the European Parliament and of the Council and repealing Commission Implementing Decision 2011/877/EU","","32015R2402","","","OJ L 333, 19/12/2015, p. 54–61
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 4 December 2015 relating to the plan for the disposal of radioactive waste arising from the decommissioning and the dismantling of the La Hague UP2-400 Reprocessing Plant, located in France","","32015A1205(01)","","","OJ C 405, 05/12/2015, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2015/1960 of 29 October 2015 on the establishment of the annual priority lists for 2016 for the development of network codes and guidelines (Text with EEA relevance)","","32015D1960","","","OJ L 284, 30/10/2015, p. 187–189
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (EU) 2015/1773 of 1 October 2015 on the position to be adopted, on behalf of the European Union, within the EEA Joint Committee concerning an amendment to Annex XXI (Statistics) to the EEA Agreement (Energy Statistics)","","32015D1773","","","OJ L 258, 03/10/2015, p. 7–9
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2015/1504 of 7 September 2015 granting derogations to certain Member States as regards the provision of statistics pursuant to Regulation (EC) No 1099/2008 of the European Parliament and of the Council on energy statistics (notified under document C(2015) 6105) (Text with EEA relevance)","","32015D1504","","","OJ L 235, 09/09/2015, p. 24–25
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2015/1222 of 24 July 2015 establishing a guideline on capacity allocation and congestion management (Text with EEA relevance)","","32015R1222","2021-03-15","2021-03-15","OJ L 197, 25/07/2015, p. 24–72
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Regulation (EU) 2015/1189 of 28 April 2015 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for solid fuel boilers (Text with EEA relevance)","","32015R1189","2017-01-09","2017-01-09","OJ L 193, 21/07/2015, p. 100–114
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2015/1188 of 28 April 2015 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for local space heaters (Text with EEA relevance)","","32015R1188","2017-01-09","2017-01-09","OJ L 193, 21/07/2015, p. 76–99
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2015/1185 of 24 April 2015 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for solid fuel local space heaters (Text with EEA relevance)","","32015R1185","2017-01-09","2017-01-09","OJ L 193, 21/07/2015, p. 1–19
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2015/1095 of 5 May 2015 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for professional refrigerated storage cabinets, blast cabinets, condensing units and process chillers (Text with EEA relevance)","","32015R1095","2017-01-09","2017-01-09","OJ L 177, 08/07/2015, p. 19–51
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Regulation (EU) 2015/802 of 19 May 2015 suspending the autonomous Common Customs Tariff duties on certain heavy oils and similar products","","32015R0802","","","OJ L 128, 23/05/2015, p. 2–3
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) 2015/703 of 30 April 2015 establishing a network code on interoperability and data exchange rules (Text with EEA relevance)","C/2015/2823","32015R0703","","","OJ L 113, 01/05/2015, p. 13–26
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Directive (EU) 2015/652 of 20 April 2015 laying down calculation methods and reporting requirements pursuant to Directive 98/70/EC of the European Parliament and of the Council relating to the quality of petrol and diesel fuels","","32015L0652","2018-12-24","2018-12-24","OJ L 107, 25/04/2015, p. 26–67
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 26 February 2015 relating to the plan for the disposal of radioactive waste arising from the European Spallation Source Facility (Linear Accelerator), located at Lund in Sweden","","32015A0228(01)","","","OJ C 72, 28/02/2015, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) No 1348/2014 of 17 December 2014 on data reporting implementing Article 8(2) and Article 8(6) of Regulation (EU) No 1227/2011 of the European Parliament and of the Council on wholesale energy market integrity and transparency  Text with EEA relevance","","32014R1348","","","OJ L 363, 18/12/2014, p. 121–142
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) No 1307/2014 of 8 December 2014 on defining the criteria and geographic ranges of highly biodiverse grassland for the purposes of Article 7b(3)(c) of Directive 98/70/EC of the European Parliament and of the Council relating to the quality of petrol and diesel fuels and Article 17(3)(c) of Directive 2009/28/EC of the European Parliament and of the Council on the promotion of the use of energy from renewable sources","","32014R1307","","","OJ L 351, 09/12/2014, p. 3–5
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Delegated Regulation (EU) No 1254/2014 of 11 July 2014 supplementing Directive 2010/30/EU of the European Parliament and of the Council with regard to energy labelling of residential ventilation units  Text with EEA relevance","","32014R1254","2020-07-30","2020-07-30","OJ L 337, 25/11/2014, p. 27–45
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) No 1253/2014 of 7 July 2014 implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to ecodesign requirements for ventilation units  Text with EEA relevance","","32014R1253","2020-07-30","2020-07-30","OJ L 337, 25/11/2014, p. 8–26
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 30 October 2014 relating to the plan for the disposal of radioactive waste arising from the clean-out and partial dismantling as well as the partial reallocation into a temporary storage facility of the Sellafield MOX Plant in the United Kingdom","","32014A1122(01)","","","OJ C 420, 22/11/2014, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2014/761/EU: Commission Recommendation of 29 October 2014 on the application of internal energy market rules between the EU Member States and the Energy Community Contracting Parties","","32014H0761","","","OJ L 311, 31/10/2014, p. 82–84
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) No 1113/2014 of 16 October 2014 establishing the form and technical details of the notification referred to in Articles 3 and 5 of Regulation (EU) No 256/2014 of the European Parliament and of the Council and repealing Commission Regulations (EC) No 2386/96 and (EU, Euratom) No 833/2010","","32014R1113","","","OJ L 302, 22/10/2014, p. 26–45
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2014/724/EU: Commission Recommendation of 10 October 2014 on the Data Protection Impact Assessment Template for Smart Grid and Smart Metering Systems","","32014H0724","","","OJ L 300, 18/10/2014, p. 63–68
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2014/713/EU: Commission Decision of 13 October 2014 on the establishment of the annual priority lists for the development of network codes and guidelines for 2015  Text with EEA relevance","","32014D0713","","","OJ L 296, 14/10/2014, p. 28–30
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2014/536/EU: Commission Decision of 14 August 2014 granting the Hellenic Republic a derogation from certain provisions of Directive 2009/72/EC of the European Parliament and of the Council","","32014D0536","","","OJ L 248, 22/08/2014, p. 12–27
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Directive 2014/77/EU of 10 June 2014 amending Annexes I and II of Directive 98/70/EC of the European Parliament and of the Council relating to the quality of petrol and diesel fuels  Text with EEA relevance","","32014L0077","","","OJ L 170, 11/06/2014, p. 62–63
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Regulation (EU) No 548/2014 of 21 May 2014 on implementing Directive 2009/125/EC of the European Parliament and of the Council with regard to small, medium and large power transformers","","32014R0548","2019-11-14","2019-11-14","OJ L 152, 22/05/2014, p. 1–15
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)","Commission Regulation (EU) No 312/2014 of 26 March 2014 establishing a Network Code on Gas Balancing of Transmission Networks  Text with EEA relevance","","32014R0312","","","OJ L 91, 27/03/2014, p. 15–35
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
